owner_name,player_name
Bhuvan,Virat Kohli
Bhuvan,Sunil Narine
Bhuvan,Ravindra Jadeja
Bhuvan,Harshal Patel
Bhuvan,Travis Head
Bhuvan,Prasidh Krishna
Bhuvan,Sai Kishore
Bhuvan,Marcus Stoinis
Bhuvan,Rohit Sharma
Bhuvan,Dhruv Jurel
Bhuvan,Kartik Sharma
Bhuvan,Prashant Veer
Bhuvan,Salil Arora
Bhuvan,Shahbaz Ahamad
Bhuvan,Eshan Malinga
Prabhanjan,Sai Sudharsan
Prabhanjan,Axar Patel
Prabhanjan,Marco Jansen
Prabhanjan,Lungi Ngidi
Prabhanjan,Mitchell Santner
Prabhanjan,Rishabh Pant
Prabhanjan,Nitish Kumar Reddy
Prabhanjan,Quinton de Kock
Prabhanjan,Khaleel Ahmed
Prabhanjan,Ashutosh Sharma
Prabhanjan,Trent Boult
Prabhanjan,Digvesh Rathi
Prabhanjan,Naman Dhir
Prabhanjan,Pathum Nissanka
Prabhanjan,Aniket Verma
Sailesh,Abhishek Sharma
Sailesh,Rashid Khan
Sailesh,Aiden Markram
Sailesh,Varun Chakaravarthy
Sailesh,Tim David
Sailesh,Nicholas Pooran
Sailesh,Krunal Pandya
Sailesh,Ayush Badoni
Sailesh,Azmatullah Omarzai
Sailesh,Kagiso Rabada
Sailesh,Kuldeep Yadav
Sailesh,Jacob Bethell
Sailesh,Matheesha Pathirana
Sailesh,Avesh Khan
Sailesh,Venkatesh Iyer
Vaibhav,Hardik Pandya
Vaibhav,Ishan Kishan
Vaibhav,Shubman Gill
Vaibhav,Riyan Parag
Vaibhav,Rajat Patidar
Vaibhav,Priyansh Arya
Vaibhav,Tristan Stubbs
Vaibhav,Mohammed Shami
Vaibhav,Heinrich Klaasen
Vaibhav,David Miller
Vaibhav,Ajinkya Rahane
Vaibhav,Devdutt Padikkal
Vaibhav,Suyash Sharma
Vaibhav,Ravi Bishnoi
Vaibhav,Harpreet Brar
Vamsi,Surya Kumar Yadav
Vamsi,Jasprit Bumrah
Vamsi,KL Rahul
Vamsi,Mitchell Marsh
Vamsi,Shimron Hetmyer
Vamsi,Prabhsimran Singh
Vamsi,Finn Allen
Vamsi,Tilak Varma
Vamsi,Phil Salt
Vamsi,Jason Holder
Vamsi,Pat Cummins
Vamsi,Sandeep Sharma
Vamsi,Jofra Archer
Vamsi,Glenn Phillips
Vamsi,Mangesh Yadav
Om,Cameron Green
Om,Ruturaj Gaikwad
Om,Yashasvi Jaiswal
Om,Vaibhav Sooryavanshi
Om,Noor Ahmad
Om,Mohammed Siraj
Om,Angkrish Raghuvanshi
Om,Bhuvneshwar Kumar
Om,Will Jacks
Om,Jos Buttler
Om,Yuzvendra Chahal
Om,Abishek Porel
Om,Josh Hazlewood
Om,MS Dhoni
Om,Rahul Tewatia
Nishant,Sanju Samson
Nishant,Dewald Brevis
Nishant,Shreyas Iyer
Nishant,Shivam Dube
Nishant,Sherfane Rutherford
Nishant,Arshdeep Singh
Nishant,Washington Sundar
Nishant,Nehal Wadhera
Nishant,Ayush Mhatre
Nishant,Romario Shepherd
Nishant,Jitesh Sharma
Nishant,Rinku Singh
Nishant,Shahrukh Khan
Nishant,Nandre Burger
Nishant,Mukesh Kumar
